When,X,Y,Type
1112755142380461,1165.0,313.0,MOVE
1112755151594458,1138.0,292.0,MOVE
1112755157242876,1118.0,277.0,MOVE
1112755165902053,1091.0,259.0,MOVE
1112755173297641,1062.0,241.0,MOVE
1112755181491348,1030.0,226.0,MOVE
1112755189343954,995.0,214.0,MOVE
1112755197348093,963.0,201.0,MOVE
1112755205614247,929.0,195.0,MOVE
1112755213361201,895.0,185.0,MOVE
1112755221260292,862.0,179.0,MOVE
1112755230291361,824.0,173.0,MOVE
1112755237464176,801.0,172.0,MOVE
1112755244268117,767.0,171.0,MOVE
1112755252024127,740.0,172.0,MOVE
1112755260385669,700.0,174.0,MOVE
1112755268526853,665.0,175.0,MOVE
1112755276535218,631.0,179.0,MOVE
1112755284373334,593.0,186.0,MOVE
1112755292269407,558.0,196.0,MOVE
1112755300670794,526.0,206.0,MOVE
1112755309067956,494.0,223.0,MOVE
1112755317013534,469.0,234.0,MOVE
1112755323407548,450.0,250.0,MOVE
1112755331445496,425.0,268.0,MOVE
1112755339304138,409.0,283.0,MOVE
1112755347585385,394.0,301.0,MOVE
1112755355450669,377.0,317.0,MOVE
1112755363167436,368.0,333.0,MOVE
1112755371225910,362.0,345.0,MOVE
1112755379347171,356.0,358.0,MOVE
1112755388396956,350.0,380.0,MOVE
1112755395378391,349.0,389.0,MOVE
1112755402213726,349.0,402.0,MOVE
1112755410264351,352.0,416.0,MOVE
1112755418319806,357.0,433.0,MOVE
1112755426297382,364.0,447.0,MOVE
1112755434012338,374.0,460.0,MOVE
1112755441922901,382.0,467.0,MOVE
1112755450405187,399.0,484.0,MOVE
1112755457966195,408.0,489.0,MOVE
1112755468351411,422.0,496.0,MOVE
1112755474019148,433.0,499.0,MOVE
1112755481027751,446.0,502.0,MOVE
1112755489370578,460.0,505.0,MOVE
1112755497448371,477.0,507.0,MOVE
1112755505374026,494.0,508.0,MOVE
1112755513347979,508.0,508.0,MOVE
1112755521269409,526.0,507.0,MOVE
1112755529368936,542.0,506.0,MOVE
1112755537307873,555.0,504.0,MOVE
1112755546469346,578.0,500.0,MOVE
1112755552145535,589.0,497.0,MOVE
1112755560401426,601.0,492.0,MOVE
1112755568201507,617.0,487.0,MOVE
1112755576387970,630.0,485.0,MOVE
1112755584751324,642.0,480.0,MOVE
1112755592317765,654.0,477.0,MOVE
1112755600883968,675.0,473.0,MOVE
1112755608311554,689.0,471.0,MOVE
1112755616658003,701.0,470.0,MOVE
1112755625535123,721.0,470.0,MOVE
1112755632350535,735.0,469.0,MOVE
1112755639348874,750.0,469.0,MOVE
1112755647474361,766.0,469.0,MOVE
1112755655297987,782.0,471.0,MOVE
1112755663151196,798.0,475.0,MOVE
1112755671427614,829.0,485.0,MOVE
1112755679404585,843.0,493.0,MOVE
1112755687250549,859.0,501.0,MOVE
1112755695368792,871.0,508.0,MOVE
1112755704294814,888.0,526.0,MOVE
1112755711224329,893.0,533.0,MOVE
1112755718426726,898.0,540.0,MOVE
1112755726170661,904.0,551.0,MOVE
1112755734601631,910.0,563.0,MOVE
1112755742247160,915.0,574.0,MOVE
1112755750743332,918.0,586.0,MOVE
1112755758219818,919.0,596.0,MOVE
1112755766399640,918.0,606.0,MOVE
1112755774539617,913.0,620.0,MOVE
1112755785143380,903.0,642.0,MOVE
1112755790177210,899.0,648.0,MOVE
1112755797293275,893.0,652.0,MOVE
1112755805331826,883.0,663.0,MOVE
1112755813439202,867.0,676.0,MOVE
1112755821274299,854.0,682.0,MOVE
1112755829315868,841.0,687.0,MOVE
1112755837337516,830.0,690.0,MOVE
1112755845405649,815.0,694.0,MOVE
1112755853218409,796.0,697.0,MOVE
1112755863362137,774.0,700.0,MOVE
1112755869763395,763.0,700.0,MOVE
1112755876412180,750.0,702.0,MOVE
1112755885830838,731.0,704.0,MOVE
1112755892204929,710.0,706.0,MOVE
1112755900436671,692.0,711.0,MOVE
1112755908438396,672.0,716.0,MOVE
1112755916460043,656.0,721.0,MOVE
1112755924395358,639.0,725.0,MOVE
1112755932290827,616.0,731.0,MOVE
1112755941262731,597.0,739.0,MOVE
1112755948340158,581.0,743.0,MOVE
1112755955220168,564.0,748.0,MOVE
1112755963198347,544.0,755.0,MOVE
1112755971229050,524.0,761.0,MOVE
1112755979389553,510.0,765.0,MOVE
1112755987265099,492.0,770.0,MOVE
1112755995306669,474.0,773.0,MOVE
1112756003213609,458.0,778.0,MOVE
1112756011253368,442.0,779.0,MOVE
1112756020239158,425.0,781.0,MOVE
1112756027255608,411.0,780.0,MOVE
1112756034997733,392.0,780.0,MOVE
1112756042438600,375.0,778.0,MOVE
1112756050398667,345.0,773.0,MOVE
1112756058172185,323.0,766.0,MOVE
1112756066363477,303.0,760.0,MOVE
1112756074109827,280.0,751.0,MOVE
1112756082074121,265.0,742.0,MOVE
1112756090199004,247.0,735.0,MOVE
1112756100480381,228.0,723.0,MOVE
1112756106651621,220.0,717.0,MOVE
1112756113573288,211.0,706.0,MOVE
1112756121108939,198.0,695.0,MOVE
1112756129157150,190.0,686.0,MOVE
1112756137289278,181.0,671.0,MOVE
1112756145016309,177.0,660.0,MOVE
1112756153357325,172.0,645.0,MOVE
1112756161054773,169.0,633.0,MOVE
1112756169645126,167.0,620.0,MOVE
1112756179359004,166.0,602.0,MOVE
1112756186096536,168.0,591.0,MOVE
1112756193524121,170.0,581.0,MOVE
1112756200275538,175.0,568.0,MOVE
1112756208026114,184.0,553.0,MOVE
1112756216032064,195.0,543.0,MOVE
1112756224013866,207.0,536.0,MOVE
1112756232062077,222.0,525.0,MOVE
1112756239993769,239.0,517.0,MOVE
1112756248033528,260.0,510.0,MOVE
1112756258545526,282.0,504.0,MOVE
1112756264694429,299.0,502.0,MOVE
1112756272412404,313.0,500.0,MOVE
1112756280442503,338.0,499.0,MOVE
1112756287716139,356.0,499.0,MOVE
1112756295524673,390.0,501.0,MOVE
1112756303358562,411.0,502.0,MOVE
1112756311208752,449.0,508.0,MOVE
1112756319596858,475.0,514.0,MOVE
1112756327233935,510.0,525.0,MOVE
1112756336592221,548.0,536.0,MOVE
1112756343289303,564.0,542.0,MOVE
1112756351320006,600.0,558.0,MOVE
1112756358444523,631.0,570.0,MOVE
1112756366228908,657.0,582.0,MOVE
1112756374297041,690.0,599.0,MOVE
1112756382238393,710.0,611.0,MOVE
1112756390266078,742.0,624.0,MOVE
1112756398365001,765.0,639.0,MOVE
1112756406323861,794.0,653.0,MOVE
1112756416203763,831.0,671.0,MOVE
1112756422139552,848.0,685.0,MOVE
1112756430500491,881.0,695.0,MOVE
1112756437802502,900.0,706.0,MOVE
1112756445359887,932.0,718.0,MOVE
1112756453626645,952.0,727.0,MOVE
1112756461332546,981.0,734.0,MOVE
1112756469822681,996.0,741.0,MOVE
1112756477260529,1028.0,753.0,MOVE
1112756485462689,1042.0,755.0,MOVE
1112756495369758,1076.0,761.0,MOVE
1112756501947303,1095.0,765.0,MOVE
1112756509209469,1114.0,769.0,MOVE
1112756516596604,1147.0,775.0,MOVE
1112756524140708,1164.0,777.0,MOVE
1112756532528210,1191.0,780.0,MOVE
1112756540061446,1206.0,780.0,MOVE
1112756548180293,1223.0,779.0,MOVE
1112756556441617,1249.0,778.0,MOVE
1112756564308711,1269.0,774.0,MOVE
1112756574203706,1305.0,769.0,MOVE
1112756580806004,1313.0,767.0,MOVE
1112756588542091,1327.0,764.0,MOVE
1112756596322249,1348.0,758.0,MOVE
1112756603463670,1370.0,746.0,MOVE
1112756611447283,1395.0,739.0,MOVE
1112756619517228,1405.0,732.0,MOVE
1112756627511103,1418.0,727.0,MOVE
1112756635533354,1440.0,719.0,MOVE
1112756643280912,1456.0,708.0,MOVE
1112756653967989,1485.0,695.0,MOVE
1112756659705758,1494.0,691.0,MOVE
1112756667366983,1501.0,687.0,MOVE
1112756675020360,1515.0,678.0,MOVE
1112756681952894,1540.0,665.0,MOVE
1112756689934695,1550.0,656.0,MOVE
1112756697969624,1558.0,651.0,MOVE
1112756706089074,1579.0,640.0,MOVE
1112756713941075,1594.0,625.0,MOVE
1112756722080448,1601.0,619.0,MOVE
1112756731004055,1614.0,607.0,MOVE
1112756738729275,1627.0,597.0,MOVE
1112756745902693,1637.0,584.0,MOVE
1112756754355397,1641.0,578.0,MOVE
1112756761306042,1647.0,565.0,MOVE
1112756769240754,1653.0,549.0,MOVE
1112756777616181,1657.0,540.0,MOVE
