When,X,Y,Typestate,predX,predY
1112725839251312,1612,871,MOVE,1548.19,935.336
1112725847370159,1602,886,MOVE,1541.6,950.809
1112725857139579,1595,902,MOVE,1543.31,968.652
1112725864301527,1593,915,MOVE,1552.08,981.35
1112725884213468,1593,915,UP,1593,947.934
1112755111058184,1281,477,DOWN,915.525,87.6617
1112755111240508,1245,398,MOVE,921.455,83.6896
1112755114750545,1233,381,MOVE,1002.72,47.1135
1112755119190916,1220,361,MOVE,1069.77,42.1771
1112755126276191,1207,350,MOVE,1062.31,97.4647
1112755134481370,1186,329,MOVE,1059.3,145.645
1112755142380461,1165,313,MOVE,1053.83,173.074
1112755151594458,1138,292,MOVE,1038.47,184.747
1112755157242876,1118,277,MOVE,1026.66,185.308
1112755165902053,1091,259,MOVE,1004.6,180.586
1112755173297641,1062,241,MOVE,979.042,171.03
1112755181491348,1030,226,MOVE,945.206,161.122
1112755189343954,995,214,MOVE,907.338,155.579
1112755197348093,963,201,MOVE,870.951,147.538
1112755205614247,929,195,MOVE,833.636,146.554
1112755213361201,895,185,MOVE,798.715,143.947
1112755221260292,862,179,MOVE,764.704,140.523
1112755230291361,824,173,MOVE,724.338,140.286
1112755237464176,801,172,MOVE,698.698,144.909
1112755244268117,767,171,MOVE,672.182,153.169
1112755252024127,740,172,MOVE,644.446,161.896
1112755260385669,700,174,MOVE,607.886,171.145
1112755268526853,665,175,MOVE,569.771,176.362
1112755276535218,631,179,MOVE,534.043,184.171
1112755284373334,593,186,MOVE,497.25,198.376
1112755292269407,558,196,MOVE,461.09,217.152
1112755300670794,526,206,MOVE,427.221,236.229
1112755309067956,494,223,MOVE,396.948,261.654
1112755317013534,469,234,MOVE,372.809,281.042
1112755323407548,450,250,MOVE,359.363,299.134
1112755331445496,425,268,MOVE,342.22,322.757
1112755339304138,409,283,MOVE,328.407,342.021
1112755347585385,394,301,MOVE,320.694,363.296
1112755355450669,377,317,MOVE,309.639,380.173
1112755363167436,368,333,MOVE,304.656,396.788
1112755371225910,362,345,MOVE,308.602,410.971
1112755379347171,356,358,MOVE,312.123,421.23
1112755388396956,350,380,MOVE,314.909,440.97
1112755395378391,349,389,MOVE,320.36,452.774
1112755402213726,349,402,MOVE,330.928,461.788
1112755410264351,352,416,MOVE,344.453,472.799
1112755418319806,357,433,MOVE,359.765,487.151
1112755426297382,364,447,MOVE,375.896,501.134
1112755434012338,374,460,MOVE,394.768,511.985
1112755441922901,382,467,MOVE,411.828,516.559
1112755450405187,399,484,MOVE,433.257,528.105
1112755457966195,408,489,MOVE,449.737,534.494
1112755468351411,422,496,MOVE,469.462,533.803
1112755474019148,433,499,MOVE,480.645,531.746
1112755481027751,446,502,MOVE,494.018,527.157
1112755489370578,460,505,MOVE,509.38,524.843
1112755497448371,477,507,MOVE,527.253,522.799
1112755505374026,494,508,MOVE,546.672,519.647
1112755513347979,508,508,MOVE,563.501,515.393
1112755521269409,526,507,MOVE,581.265,510.649
1112755529368936,542,506,MOVE,599.225,506.266
1112755537307873,555,504,MOVE,613.115,501.251
1112755546469346,578,500,MOVE,635.138,492.907
1112755552145535,589,497,MOVE,647.397,487.168
1112755560401426,601,492,MOVE,657.598,477.19
1112755568201507,617,487,MOVE,670.353,469.357
1112755576387970,630,485,MOVE,684.564,467.612
1112755584751324,642,480,MOVE,695.898,463.249
1112755592317765,654,477,MOVE,705.601,459.094
1112755600883968,675,473,MOVE,725.524,457.13
1112755608311554,689,471,MOVE,743.16,456.299
1112755616658003,701,470,MOVE,757.047,458.387
1112755625535123,721,470,MOVE,776.022,462.937
1112755632350535,735,469,MOVE,791.079,464.454
1112755639348874,750,469,MOVE,805.351,465.462
1112755647474361,766,469,MOVE,821.796,467.26
1112755655297987,782,471,MOVE,838.063,471.344
1112755663151196,798,475,MOVE,854.086,480.529
1112755671427614,829,485,MOVE,883.463,497.344
1112755679404585,843,493,MOVE,906.293,515.009
1112755687250549,859,501,MOVE,921.635,529.806
1112755695368792,871,508,MOVE,933.055,540.079
1112755704294814,888,526,MOVE,944.407,562.92
1112755711224329,893,533,MOVE,947.42,577.76
1112755718426726,898,540,MOVE,944.387,586.018
1112755726170661,904,551,MOVE,942.026,594.849
1112755734601631,910,563,MOVE,942.265,606.902
1112755742247160,915,574,MOVE,943.694,618.284
1112755750743332,918,586,MOVE,942.408,631.497
1112755758219818,919,596,MOVE,937.435,642.339
1112755766399640,918,606,MOVE,928.14,651.96
1112755774539617,913,620,MOVE,913.747,663.908
1112755785143380,903,642,MOVE,890.512,689.647
1112755790177210,899,648,MOVE,880.552,698.646
1112755797293275,893,652,MOVE,867.116,697.292
1112755805331826,883,663,MOVE,854.315,701.078
1112755813439202,867,676,MOVE,835.274,712.639
1112755821274299,854,682,MOVE,814.429,718.998
1112755829315868,841,687,MOVE,795.257,719.126
1112755837337516,830,690,MOVE,780.846,717.085
1112755845405649,815,694,MOVE,765.897,715.924
1112755853218409,796,697,MOVE,746.193,715.459
1112755863362137,774,700,MOVE,716.839,715.426
1112755869763395,763,700,MOVE,702.319,712.66
1112755876412180,750,702,MOVE,691.486,711.149
1112755885830838,731,704,MOVE,673.377,712.996
1112755892204929,710,706,MOVE,655.05,714.211
1112755900436671,692,711,MOVE,632.803,721.585
1112755908438396,672,716,MOVE,611.545,731.162
1112755916460043,656,721,MOVE,593.1,739.286
1112755924395358,639,725,MOVE,576.392,744.603
1112755932290827,616,731,MOVE,554.684,750.404
1112755941262731,597,739,MOVE,531.692,762.325
1112755948340158,581,743,MOVE,515.636,768.508
1112755955220168,564,748,MOVE,500.276,771.368
1112755963198347,544,755,MOVE,481.396,778.698
1112755971229050,524,761,MOVE,460.493,786.002
1112755979389553,510,765,MOVE,444.017,789.844
1112755987265099,492,770,MOVE,428.466,793.028
1112755995306669,474,773,MOVE,410.738,793.972
1112756003213609,458,778,MOVE,394.782,797.379
1112756011253368,442,779,MOVE,379.346,796.811
1112756020239158,425,781,MOVE,362.23,793.468
1112756027255608,411,780,MOVE,349.58,788.619
1112756034997733,392,780,MOVE,333.076,783.996
1112756042438600,375,778,MOVE,315.795,779.099
1112756050398667,345,773,MOVE,287.266,768.541
1112756058172185,323,766,MOVE,258.792,754.248
1112756066363477,303,760,MOVE,234.617,740.61
1112756074109827,280,751,MOVE,211.732,727.378
1112756082074121,265,742,MOVE,195.093,711.922
1112756090199004,247,735,MOVE,179.531,701.709
1112756100480381,228,723,MOVE,160.302,686.94
1112756106651621,220,717,MOVE,154.348,677.931
1112756113573288,211,706,MOVE,154.226,665.636
1112756121108939,198,695,MOVE,148.128,653.717
1112756129157150,190,686,MOVE,141.707,643.748
1112756137289278,181,671,MOVE,138.686,627.649
1112756145016309,177,660,MOVE,139.734,612.483
1112756153357325,172,645,MOVE,142.313,595.86
1112756161054773,169,633,MOVE,143.975,582.036
1112756169645126,167,620,MOVE,147.714,568.323
1112756179359004,166,602,MOVE,152.925,548.935
1112756186096536,168,591,MOVE,160.162,536.803
1112756193524121,170,581,MOVE,170.013,528.43
1112756200275538,175,568,MOVE,180.496,519.805
1112756208026114,184,553,MOVE,197.254,507.005
1112756216032064,195,543,MOVE,218.193,497.176
1112756224013866,207,536,MOVE,239.984,494.233
1112756232062077,222,525,MOVE,260.809,487.418
1112756239993769,239,517,MOVE,283.12,480.349
1112756248033528,260,510,MOVE,310.112,476.89
1112756258545526,282,504,MOVE,343.346,473.698
1112756264694429,299,502,MOVE,362.234,475.836
1112756272412404,313,500,MOVE,378.586,480.66
1112756280442503,338,499,MOVE,400.785,485.346
1112756287716139,356,499,MOVE,421.347,490.28
1112756295524673,390,501,MOVE,453.39,497.156
1112756303358562,411,502,MOVE,483.049,502.651
1112756311208752,449,508,MOVE,520.023,513.432
1112756319596858,475,514,MOVE,555.674,527.919
1112756327233935,510,525,MOVE,589.948,545.889
1112756336592221,548,536,MOVE,635.208,566.355
1112756343289303,564,542,MOVE,657.391,576.465
1112756351320006,600,558,MOVE,685.504,594.992
1112756358444523,631,570,MOVE,715.907,611.237
1112756366228908,657,582,MOVE,744.891,626.021
1112756374297041,690,599,MOVE,775.915,645.761
1112756382238393,710,611,MOVE,799.01,662.979
1112756390266078,742,624,MOVE,827.1,674.715
1112756398365001,765,639,MOVE,851.929,690.173
1112756406323861,794,653,MOVE,877.81,705.591
1112756416203763,831,671,MOVE,918.57,724.847
1112756422139552,848,685,MOVE,936.768,740.164
1112756430500491,881,695,MOVE,966.841,748.84
1112756437802502,900,706,MOVE,988.664,755.398
1112756445359887,932,718,MOVE,1014.58,765.12
1112756453626645,952,727,MOVE,1038.54,773.096
1112756461332546,981,734,MOVE,1064.09,775.451
1112756469822681,996,741,MOVE,1082.21,778.981
1112756477260529,1028,753,MOVE,1104.68,789.231
1112756485462689,1042,755,MOVE,1124.33,790.995
1112756495369758,1076,761,MOVE,1155.72,787.742
1112756501947303,1095,765,MOVE,1175.93,789.539
