timestamp,x,y,state
1473943060750966,1720,1688,MOVE
1473943060750966,1721,1704,MOVE
1473943060754145,1722,1720,MOVE
1473943060802837,1725,1781,MOVE
1473943060824021,1725,1820,MOVE
1473943060850098,1725,1855,MOVE
1473943060850098,1725,1855,MOVE
1473943060867463,1728,1897,MOVE
1473943060883868,1731,1925,MOVE
1473943060900524,1734,1939,MOVE
1473943060916760,1738,1954,MOVE
1473943060917808,1743,1962,MOVE
1473943060934699,1754,1973,MOVE
1473943060951505,1767,1978,MOVE
1473943060966718,1774,1980,MOVE
1473943060967722,1789,1982,MOVE
1473943060985111,1807,1985,MOVE
1473943060988103,1817,1986,MOVE
1473943061037252,1866,1985,MOVE
1473943061049853,1913,1985,MOVE
1473943061068295,1947,1983,MOVE
1473943061083757,2000,1979,MOVE
1473943061100421,2041,1977,MOVE
1473943061117053,2105,1971,MOVE
1473943061134815,2151,1968,MOVE
1473943061150302,2220,1963,MOVE
1473943061151303,2272,1961,MOVE
1473943061168631,2342,1958,MOVE
1473943061184965,2394,1954,MOVE
1473943061189043,2418,1951,MOVE
1473943061200505,2440,1949,MOVE
1473943061202519,2464,1947,MOVE
1473943061218059,2514,1941,MOVE
1473943061222137,2538,1939,MOVE
1473943061267136,2635,1926,MOVE
1473943061269383,2680,1921,MOVE
1473943061283907,2705,1920,MOVE
1473943061302447,2753,1917,MOVE
1473943061316911,2820,1915,MOVE
1473943061316911,2820,1915,MOVE
1473943061333691,2867,1911,MOVE
1473943061350637,2910,1908,MOVE
1473943061367268,2976,1908,MOVE
1473943061368244,3020,1907,MOVE
1473943061369327,3040,1906,MOVE
1473943061384906,3081,1902,MOVE
1473943061401542,3125,1903,MOVE
1473943061403592,3146,1903,MOVE
1473943061419105,3185,1901,MOVE
1473943061423256,3207,1900,MOVE
1473943061434597,3228,1898,MOVE
1473943061436605,3249,1898,MOVE
1473943061451527,3290,1897,MOVE
1473943061457737,3309,1897,MOVE
1473943061500611,3390,1900,MOVE
1473943061516490,3426,1901,MOVE
1473943061517499,3472,1902,MOVE
1473943061550690,3497,1903,MOVE
1473943061567223,3525,1902,MOVE
1473943061586658,3539,1903,MOVE
1473943061601257,3553,1899,MOVE
1473943061601257,3558,1895,MOVE
1473943061617148,3559,1890,MOVE
1473943061618240,3560,1878,MOVE
1473943061634927,3557,1864,MOVE
1473943061637153,3554,1855,MOVE
1473943061651724,3549,1832,MOVE
1473943061667142,3546,1820,MOVE
1473943061668202,3543,1806,MOVE
1473943061671292,3539,1792,MOVE
1473943061684724,3532,1761,MOVE
1473943061694089,3528,1746,MOVE
1473943061734278,3515,1692,MOVE
1473943061750028,3502,1631,MOVE
1473943061751060,3489,1567,MOVE
1473943061784384,3481,1525,MOVE
1473943061807092,3470,1459,MOVE
1473943061817399,3461,1388,MOVE
1473943061817399,3461,1388,MOVE
1473943061818407,3453,1339,MOVE
1473943061835475,3445,1290,MOVE
1473943061851490,3442,1267,MOVE
1473943061852518,3436,1217,MOVE
1473943061852518,3436,1217,MOVE
1473943061867559,3432,1168,MOVE
1473943061871569,3430,1142,MOVE
1473943061884577,3426,1094,MOVE
1473943061900620,3417,1044,MOVE
1473943061906761,3412,1018,MOVE
1473943061951529,3397,917,MOVE
1473943061968045,3388,846,MOVE
1473943061968045,3383,802,MOVE
1473943062000945,3380,760,MOVE
1473943062019597,3375,694,MOVE
1473943062034259,3371,635,MOVE
1473943062034259,3371,635,MOVE
1473943062035352,3369,598,MOVE
1473943062051168,3368,563,MOVE
1473943062053187,3368,546,MOVE
1473943062067588,3368,516,MOVE
1473943062084864,3368,489,MOVE
1473943062086987,3368,476,MOVE
1473943062101349,3368,453,MOVE
1473943062117012,3368,443,MOVE
1473943062118014,3368,433,MOVE
1473943062120197,3369,425,MOVE
1473943062134889,3370,411,MOVE
1473943062140123,3370,406,MOVE
1473943062183932,3371,396,MOVE
1473943062200696,3370,395,MOVE
1473943062217501,3368,395,MOVE
1473943062234340,3363,395,MOVE
1473943062251051,3351,397,MOVE
1473943062266802,3341,400,MOVE
1473943062267796,3317,404,MOVE
1473943062285416,3297,410,MOVE
1473943062302938,3285,413,MOVE
1473943062303975,3259,417,MOVE
1473943062318829,3233,418,MOVE
1473943062320922,3218,421,MOVE
1473943062334417,3184,424,MOVE
1473943062350908,3165,426,MOVE
1473943062351999,3146,427,MOVE
1473943062355126,3127,427,MOVE
1473943062400715,3040,433,MOVE
1473943062417416,2970,435,MOVE
1473943062434065,2919,438,MOVE
1473943062450765,2840,441,MOVE
1473943062467323,2785,444,MOVE
1473943062484038,2702,447,MOVE
1473943062485096,2648,449,MOVE
1473943062501805,2560,452,MOVE
1473943062518607,2500,454,MOVE
1473943062536239,2410,457,MOVE
1473943062536239,2410,457,MOVE
1473943062551644,2346,459,MOVE
1473943062556644,2317,461,MOVE
1473943062576148,2258,464,MOVE
1473943062599869,2229,466,MOVE
1473943062617606,2145,473,MOVE
1473943062634460,2063,477,MOVE
1473943062635441,2011,481,MOVE
1473943062651165,1985,482,MOVE
1473943062667605,1939,484,MOVE
1473943062683939,1896,488,MOVE
1473943062700671,1842,493,MOVE
1473943062717678,1814,496,MOVE
1473943062718715,1778,500,MOVE
1473943062735510,1760,503,MOVE
1473943062751355,1754,505,MOVE
1473943062751355,1744,508,MOVE
1473943062770863,1736,513,MOVE
1473943062770863,1736,513,MOVE
1473943062788167,1734,517,MOVE
1473943062791181,1734,519,MOVE
1473943062809587,1735,525,MOVE
1473943062809587,1735,525,MOVE
1473943062833444,1735,528,MOVE
1473943062850376,1739,541,MOVE
1473943062867193,1745,557,MOVE
1473943062883704,1749,570,MOVE
1473943062900275,1759,592,MOVE
1473943062917170,1767,611,MOVE
1473943062933850,1779,644,MOVE
1473943062934907,1786,666,MOVE
1473943062951807,1797,706,MOVE
1473943062968116,1805,737,MOVE
1473943062971174,1809,754,MOVE
1473943062984533,1819,788,MOVE
1473943063001914,1827,823,MOVE
1473943063007970,1831,840,MOVE
1473943063018365,1839,876,MOVE
1473943063033865,1844,896,MOVE
1473943063034913,1848,916,MOVE
1473943063038230,1853,937,MOVE
1473943063084054,1873,1021,MOVE
1473943063100850,1885,1084,MOVE
1473943063118498,1892,1126,MOVE
1473943063134969,1900,1190,MOVE
1473943063134969,1905,1233,MOVE
1473943063151374,1914,1300,MOVE
1473943063167963,1921,1347,MOVE
1473943063186589,1931,1412,MOVE
1473943063186589,1931,1412,MOVE
1473943063201362,1938,1454,MOVE
1473943063219144,1945,1519,MOVE
1473943063234769,1950,1561,MOVE
1473943063239013,1952,1583,MOVE
1473943063251542,1955,1604,MOVE
1473943063253580,1957,1625,MOVE
1473943063267227,1960,1647,MOVE
1473943063268283,1962,1668,MOVE
1473943063273360,1965,1689,MOVE
1473943063317977,1976,1767,MOVE
1473943063339894,1980,1804,MOVE
1473943063353254,1985,1870,MOVE
1473943063353254,1985,1870,MOVE
1473943063367800,1988,1900,MOVE
1473943063367800,1988,1900,MOVE
1473943063384258,1989,1930,MOVE
1473943063385340,1991,1956,MOVE
1473943063402027,1993,1991,MOVE
1473943063418693,1994,2010,MOVE
1473943063420737,1994,2018,MOVE
1473943063435202,1994,2032,MOVE
1473943063450851,1994,2038,MOVE
1473943063451936,1995,2042,MOVE
1473943063453945,1995,2047,MOVE
1473943063468577,1995,2053,MOVE
1473943063474685,1995,2056,MOVE
1473943063484977,1995,2058,MOVE
1473943063487288,1996,2058,MOVE
1473943063534270,1997,2061,MOVE
1473943063555845,2003,2059,MOVE
1473943063567306,2020,2055,MOVE
1473943063567306,2020,2055,MOVE
1473943063584816,2035,2051,MOVE
1473943063601359,2054,2049,MOVE
1473943063618017,2084,2044,MOVE
1473943063619096,2109,2039,MOVE
1473943063635829,2150,2035,MOVE
1473943063651546,2183,2032,MOVE
1473943063654652,2199,2030,MOVE
1473943063668114,2235,2028,MOVE
1473943063685408,2276,2021,MOVE
1473943063688506,2296,2019,MOVE
1473943063701985,2332,2014,MOVE
1473943063708457,2351,2011,MOVE
1473943063718800,2371,2008,MOVE
1473943063721930,2392,2007,MOVE
1473943063750524,2413,2004,MOVE
1473943063768086,2475,2001,MOVE
1473943063784450,2544,1997,MOVE
1473943063804113,2591,1995,MOVE
1473943063818639,2662,1991,MOVE
1473943063835504,2711,1989,MOVE
1473943063836536,2785,1984,MOVE
1473943063852132,2835,1980,MOVE
1473943063868832,2910,1978,MOVE
1473943063885321,2962,1976,MOVE
1473943063889307,2988,1974,MOVE
1473943063903996,3034,1971,MOVE
1473943063903996,3034,1971,MOVE
1473943063918709,3083,1967,MOVE
1473943063924895,3108,1966,MOVE
1473943063936361,3154,1966,MOVE
1473943063966665,3176,1965,MOVE
1473943063985188,3243,1961,MOVE
1473943064002906,3304,1960,MOVE
1473943064018691,3361,1962,MOVE
1473943064018691,3361,1962,MOVE
1473943064018691,3394,1963,MOVE
1473943064051019,3423,1965,MOVE
1473943064067580,3456,1969,MOVE
1473943064069558,3474,1971,MOVE
1473943064084847,3481,1971,MOVE
1473943064085874,3492,1970,MOVE
1473943064101917,3501,1969,MOVE
1473943064103895,3503,1968,MOVE
1473943064118563,3508,1967,MOVE
1473943064136213,3510,1962,MOVE
1473943064137219,3511,1957,MOVE
1473943064152657,3511,1947,MOVE
1473943064157795,3510,1943,MOVE
1473943064168259,3510,1935,MOVE
1473943064171481,3509,1926,MOVE
1473943064200649,3508,1916,MOVE
1473943064217544,3504,1884,MOVE
1473943064234355,3499,1848,MOVE
1473943064250913,3496,1818,MOVE
1473943064267540,3491,1770,MOVE
1473943064284284,3487,1731,MOVE
1473943064285330,3481,1672,MOVE
1473943064302830,3477,1629,MOVE
1473943064334281,3474,1564,MOVE
1473943064335334,3472,1518,MOVE
1473943064338475,3471,1495,MOVE
1473943064352167,3468,1447,MOVE
1473943064357362,3466,1423,MOVE
1473943064368724,3465,1396,MOVE
1473943064371824,3463,1370,MOVE
1473943064385304,3458,1320,MOVE
1473943064392584,3457,1294,MOVE
1473943064401913,3454,1269,MOVE
1473943064404972,3452,1243,MOVE
1473943064433408,3450,1217,MOVE
1473943064451266,3444,1136,MOVE
1473943064467820,3435,1053,MOVE
1473943064484461,3430,995,MOVE
1473943064485489,3418,909,MOVE
1473943064517995,3410,852,MOVE
1473943064519078,3401,768,MOVE
1473943064536804,3395,716,MOVE
1473943064554400,3385,644,MOVE
1473943064568997,3379,597,MOVE
1473943064573143,3376,576,MOVE
1473943064585548,3372,535,MOVE
1473943064602178,3370,500,MOVE
1473943064606364,3369,485,MOVE
1473943064620095,3368,470,MOVE
1473943064620095,3367,457,MOVE
1473943064626485,3366,444,MOVE
1473943064667783,3363,413,MOVE
1473943064684321,3358,392,MOVE
1473943064685327,3353,384,MOVE
1473943064717852,3344,378,MOVE
1473943064734539,3337,376,MOVE
1473943064751135,3318,376,MOVE
1473943064752141,3302,378,MOVE
1473943064767795,3293,381,MOVE
1473943064768834,3271,384,MOVE
1473943064785560,3247,391,MOVE
1473943064787855,3235,393,MOVE
1473943064802341,3208,397,MOVE
1473943064817971,3191,400,MOVE
1473943064819055,3173,403,MOVE
1473943064821229,3153,406,MOVE
1473943064835936,3114,411,MOVE
1473943064841416,3093,414,MOVE
1473943064851903,3069,416,MOVE
1473943064854008,3046,417,MOVE
1473943064861382,3023,418,MOVE
1473943064901380,2945,424,MOVE
1473943064918158,2862,431,MOVE
1473943064934702,2803,437,MOVE
1473943064951379,2711,444,MOVE
1473943064967875,2651,452,MOVE
1473943064968913,2555,463,MOVE
1473943064985623,2486,469,MOVE
1473943065002141,2385,480,MOVE
1473943065018736,2319,490,MOVE
1473943065021830,2285,493,MOVE
1473943065035740,2219,503,MOVE
1473943065051538,2187,508,MOVE
1473943065052561,2157,512,MOVE
1473943065055602,2125,516,MOVE
1473943065069110,2064,524,MOVE
1473943065076391,2034,527,MOVE
1473943065118213,1925,540,MOVE
1473943065135027,1879,547,MOVE
1473943065151412,1822,557,MOVE
1473943065168164,1791,561,MOVE
1473943065184720,1757,568,MOVE
1473943065202503,1739,570,MOVE
1473943065218257,1719,574,MOVE
1473943065219299,1709,577,MOVE
1473943065238093,1707,580,UP
1473943065238093,1707,580,DOWN
1473943065851979,1891,2024,MOVE
1473943065851979,1891,2024,MOVE
1473943065870708,1894,2013,MOVE
1473943065885250,1896,2004,MOVE
1473943065886296,1902,1985,MOVE
1473943065903085,1908,1971,MOVE
1473943065919943,1919,1948,MOVE
1473943065936266,1927,1929,MOVE
1473943065940338,1933,1920,MOVE
1473943065953725,1945,1899,MOVE
1473943065969461,1960,1876,MOVE
1473943065973577,1967,1863,MOVE
1473943065988107,1981,1835,MOVE
1473943065994348,1988,1820,MOVE
1473943066036055,2013,1770,MOVE
1473943066036055,2042,1718,MOVE
1473943066053689,2063,1681,MOVE
1473943066071305,2072,1663,MOVE
1473943066086647,2093,1625,MOVE
1473943066102450,2126,1563,MOVE
1473943066119280,2148,1521,MOVE
1473943066119280,2170,1476,MOVE
1473943066121338,2181,1456,MOVE
1473943066135991,2205,1410,MOVE
1473943066153299,2227,1364,MOVE
1473943066154390,2239,1341,MOVE
1473943066169681,2263,1293,MOVE
1473943066177887,2276,1269,MOVE
1473943066218632,2324,1160,MOVE
1473943066235373,2344,1105,MOVE
1473943066251952,2377,1023,MOVE
1473943066268708,2401,968,MOVE
1473943066285195,2436,882,MOVE
1473943066286227,2456,826,MOVE
1473943066303801,2483,747,MOVE
1473943066335754,2500,697,MOVE
1473943066336837,2528,631,MOVE
1473943066353499,2546,591,MOVE
1473943066369993,2568,538,MOVE
1473943066386504,2580,508,MOVE
1473943066389517,2584,495,MOVE
1473943066403026,2592,473,MOVE
1473943066409099,2595,464,MOVE
1473943066419910,2598,456,MOVE
1473943066423420,2600,450,MOVE
1473943066436909,2603,441,MOVE
1473943066444460,2604,439,MOVE
1473943066485996,2607,432,MOVE
1473943066503518,2607,433,MOVE
1473943066519586,2609,439,MOVE
1473943066519586,2611,447,MOVE
1473943066552477,2619,465,MOVE
1473943066569522,2625,482,MOVE
1473943066570525,2640,515,MOVE
1473943066586474,2654,540,MOVE
1473943066605018,2678,580,MOVE
1473943066605018,2678,580,MOVE
1473943066620265,2694,609,MOVE
1473943066624357,2702,624,MOVE
1473943066636757,2721,659,MOVE
1473943066668345,2732,677,MOVE
1473943066686092,2771,735,MOVE
1473943066704089,2808,799,MOVE
1473943066718689,2849,866,MOVE
1473943066718689,2849,866,MOVE
1473943066735375,2877,910,MOVE
1473943066751919,2908,956,MOVE
1473943066752902,2954,1030,MOVE
1473943066771564,2992,1083,MOVE
1473943066786169,3011,1110,MOVE
1473943066787257,3045,1165,MOVE
1473943066803107,3082,1218,MOVE
1473943066805174,3101,1244,MOVE
1473943066819771,3140,1297,MOVE
1473943066836608,3177,1351,MOVE
1473943066838671,3196,1379,MOVE
1473943066853219,3236,1431,MOVE
1473943066858364,3255,1458,MOVE
1473943066869884,3275,1484,MOVE
1473943066871934,3293,1510,MOVE
1473943066901415,3311,1537,MOVE
1473943066919463,3368,1612,MOVE
1473943066936509,3423,1681,MOVE
1473943066936509,3457,1724,MOVE
1473943066968617,3505,1785,MOVE
1473943066985635,3538,1824,MOVE
1473943067001746,3583,1869,MOVE
1473943067002743,3605,1891,MOVE
1473943067020456,3629,1915,MOVE
1473943067036439,3638,1927,MOVE
1473943067055186,3641,1931,MOVE
1473943067056189,3645,1935,MOVE
1473943067069788,3646,1939,MOVE
1473943067073102,3645,1942,MOVE
1473943067086791,3641,1944,MOVE
1473943067092025,3638,1945,MOVE
1473943067102607,3632,1945,MOVE
1473943067105801,3625,1943,MOVE
1473943067152315,3583,1937,MOVE
1473943067168805,3543,1935,MOVE
1473943067186271,3512,1932,MOVE
1473943067202179,3461,1928,MOVE
1473943067219287,3422,1923,MOVE
1473943067236052,3362,1918,MOVE
1473943067237132,3316,1916,MOVE
1473943067254104,3245,1913,MOVE
1473943067269693,3192,1914,MOVE
1473943067287378,3116,1914,MOVE
1473943067305085,3062,1916,MOVE
1473943067307172,3035,1918,MOVE
1473943067320657,3008,1920,MOVE
1473943067321710,2980,1922,MOVE
1473943067336146,2952,1923,MOVE
1473943067337236,2923,1925,MOVE
1473943067341340,2896,1925,MOVE
1473943067385971,2784,1934,MOVE
1473943067402675,2728,1940,MOVE
1473943067420492,2647,1947,MOVE
1473943067436189,2565,1956,MOVE
1473943067436189,2565,1956,MOVE
1473943067452972,2514,1966,MOVE
1473943067469510,2460,1975,MOVE
1473943067470515,2389,1988,MOVE
1473943067487177,2337,1997,MOVE
1473943067490189,2313,2002,MOVE
1473943067503747,2266,2014,MOVE
1473943067507985,2243,2017,MOVE
1473943067520477,2221,2023,MOVE
1473943067522650,2199,2026,MOVE
1473943067537200,2157,2034,MOVE
1473943067542387,2138,2038,MOVE
1473943067553725,2118,2041,MOVE
1473943067555808,2100,2045,MOVE
1473943067584741,2082,2049,MOVE
1473943067602387,2034,2059,MOVE
1473943067603421,1999,2067,MOVE
1473943067635640,1980,2070,MOVE
1473943067652265,1959,2072,MOVE
1473943067653298,1952,2071,MOVE
1473943067685599,1948,2068,MOVE
1473943067686584,1948,2065,MOVE
1473943067703290,1953,2056,MOVE
1473943067720905,1959,2046,MOVE
1473943067722915,1964,2041,MOVE
1473943067737584,1973,2026,MOVE
1473943067754280,1983,2009,MOVE
1473943067756332,1989,1999,MOVE
1473943067769837,2002,1981,MOVE
1473943067775915,2009,1970,MOVE
1473943067791354,2026,1949,MOVE
1473943067791354,2026,1949,MOVE
1473943067821509,2035,1938,MOVE
1473943067836036,2061,1900,MOVE
1473943067852781,2085,1856,MOVE
1473943067869575,2101,1825,MOVE
1473943067885962,2128,1775,MOVE
1473943067903734,2146,1740,MOVE
1473943067919414,2174,1682,MOVE
1473943067920515,2192,1644,MOVE
1473943067937106,2218,1580,MOVE
1473943067953567,2235,1536,MOVE
1473943067970219,2243,1514,MOVE
1473943067971311,2261,1469,MOVE
1473943067986722,2283,1424,MOVE
1473943067991829,2295,1400,MOVE
1473943068005251,2315,1354,MOVE
1473943068011438,2325,1330,MOVE
1473943068052939,2358,1234,MOVE
1473943068052939,2358,1234,MOVE
1473943068070634,2374,1184,MOVE
1473943068086097,2398,1108,MOVE
1473943068102727,2414,1057,MOVE
1473943068119287,2430,1007,MOVE
1473943068138099,2453,931,MOVE
1473943068153387,2473,859,MOVE
1473943068153387,2473,859,MOVE
1473943068154432,2485,813,MOVE
1473943068170107,2497,768,MOVE
1473943068172116,2503,746,MOVE
1473943068187641,2513,704,MOVE
1473943068204233,2525,662,MOVE
1473943068205244,2530,642,MOVE
1473943068220492,2541,604,MOVE
1473943068225827,2546,586,MOVE
1473943068237222,2551,568,MOVE
1473943068239308,2556,551,MOVE
1473943068268523,2560,535,MOVE
1473943068288063,2572,489,MOVE
1473943068303551,2583,451,MOVE
1473943068320549,2588,430,MOVE
1473943068321552,2595,405,MOVE
1473943068352658,2599,393,MOVE
1473943068369357,2604,383,MOVE
1473943068370388,2606,380,MOVE
1473943068386979,2608,379,MOVE
1473943068403717,2612,383,MOVE
1473943068406772,2614,387,MOVE
1473943068420249,2620,396,MOVE
1473943068436635,2624,402,MOVE
1473943068437693,2629,408,MOVE
1473943068440756,2634,415,MOVE
1473943068454128,2646,433,MOVE
1473943068460195,2654,445,MOVE
1473943068502911,2688,501,MOVE
1473943068502911,2688,501,MOVE
1473943068519558,2707,534,MOVE
1473943068536147,2739,590,MOVE
1473943068552695,2765,630,MOVE
1473943068570343,2801,694,MOVE
1473943068570343,2827,736,MOVE
1473943068587017,2871,803,MOVE
1473943068604332,2903,851,MOVE
1473943068621007,2946,920,MOVE
1473943068637303,2979,967,MOVE
1473943068641471,2996,990,MOVE
1473943068653860,3028,1036,MOVE
1473943068670442,3057,1082,MOVE
1473943068676605,3072,1106,MOVE
1473943068688990,3104,1153,MOVE
1473943068688990,3104,1153,MOVE
1473943068695146,3122,1177,MOVE
1473943068736080,3171,1246,MOVE
1473943068754535,3220,1314,MOVE
1473943068770130,3272,1381,MOVE
1473943068770130,3272,1381,MOVE
1473943068788960,3304,1425,MOVE
1473943068808557,3359,1493,MOVE
1473943068819840,3414,1561,MOVE
1473943068819840,3414,1561,MOVE
1473943068820842,3430,1583,MOVE
1473943068836363,3448,1605,MOVE
1473943068837411,3481,1647,MOVE
1473943068855990,3531,1707,MOVE
1473943068855990,3531,1707,MOVE
1473943068870665,3564,1742,MOVE
1473943068886121,3580,1758,MOVE
1473943068887126,3595,1773,MOVE
1473943068889133,3608,1789,MOVE
1473943068903844,3629,1818,MOVE
1473943068909090,3639,1831,MOVE
1473943068953348,3668,1867,MOVE
1473943068969745,3676,1878,MOVE
1473943068986288,3681,1886,MOVE
1473943069004869,3681,1890,MOVE
1473943069023472,3674,1898,MOVE
1473943069036755,3660,1904,MOVE
1473943069036755,3660,1904,MOVE
1473943069037755,3647,1904,MOVE
1473943069054276,3627,1902,MOVE
1473943069069779,3615,1902,MOVE
1473943069070862,3585,1899,MOVE
1473943069088490,3554,1898,MOVE
1473943069090500,3537,1897,MOVE
1473943069103971,3503,1896,MOVE
1473943069119724,3483,1896,MOVE
1473943069120744,3463,1895,MOVE
1473943069123845,3441,1896,MOVE
1473943069138433,3398,1897,MOVE
1473943069144539,3376,1897,MOVE
1473943069186439,3278,1898,MOVE
1473943069202945,3227,1900,MOVE
1473943069220317,3146,1904,MOVE
1473943069237030,3091,1904,MOVE
1473943069253515,3008,1911,MOVE
1473943069270234,2950,1919,MOVE
1473943069271313,2867,1929,MOVE
1473943069288914,2809,1937,MOVE
1473943069304487,2730,1952,MOVE
1473943069322872,2678,1964,MOVE
1473943069324874,2653,1971,MOVE
1473943069338531,2604,1983,MOVE
1473943069354007,2556,1994,MOVE
1473943069358446,2533,2002,MOVE
1473943069370886,2485,2016,MOVE
1473943069378300,2461,2022,MOVE
1473943069419911,2398,2041,MOVE
1473943069437737,2330,2061,MOVE
1473943069453265,2267,2078,MOVE
1473943069470824,2227,2088,MOVE
1473943069471828,2191,2097,MOVE
1473943069486583,2172,2102,MOVE
1473943069505264,2139,2111,MOVE
1473943069519820,2094,2121,MOVE
1473943069520852,2069,2127,MOVE
1473943069537719,2049,2130,MOVE
1473943069539728,2041,2132,MOVE
1473943069554101,2031,2133,MOVE
1473943069559280,2028,2133,MOVE
1473943069570779,2026,2132,MOVE
1473943069572832,2025,2131,MOVE
1473943069587400,2024,2128,MOVE
1473943069592617,2026,2124,MOVE
1473943069637371,2039,2100,MOVE
1473943069653887,2051,2084,MOVE
1473943069653887,2073,2055,MOVE
1473943069670596,2091,2032,MOVE
1473943069703041,2122,1995,MOVE
1473943069704072,2144,1968,MOVE
1473943069737026,2176,1920,MOVE
1473943069738071,2197,1887,MOVE
1473943069753604,2207,1868,MOVE
1473943069754705,2226,1832,MOVE
1473943069771430,2243,1793,MOVE
1473943069786812,2252,1772,MOVE
1473943069787859,2272,1729,MOVE
1473943069803580,2282,1707,MOVE
1473943069804648,2293,1684,MOVE
1473943069807694,2303,1661,MOVE
1473943069821017,2321,1616,MOVE
1473943069827422,2331,1592,MOVE
1473943069870000,2364,1495,MOVE
1473943069886624,2381,1446,MOVE
1473943069904156,2409,1369,MOVE
1473943069920018,2430,1318,MOVE
1473943069936760,2457,1239,MOVE
1473943069953344,2472,1185,MOVE
1473943069954390,2495,1103,MOVE
1473943069971061,2511,1048,MOVE
1473943069988584,2536,966,MOVE
1473943070036075,2562,884,MOVE
1473943070036075,2562,884,MOVE
